label,text,description
ABBR:abb,What is the abbreviation of the company name ` General Motors ' ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviation for Original Equipment Manufacturer ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is Mikhail Gorbachev 's middle initial ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What 's the abbreviation for trinitrotoluene ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviation for micro ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the acronym for the National Bureau of Investigation ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviation for Texas ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviation for micro ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviated expression for the National Bureau of Investigation ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What 's the abbreviation for limited partnership ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviation of the National Bureau of Investigation ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the acronym for the National Bureau of Investigation ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviation of General Motors ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviation of the company name ` General Motors ' ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviation of the company name ` General Motors ' ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviated term used for the National Bureau of Investigation ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviation of the National Bureau of Investigation ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What 's the abbreviation for limited partnership ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What 's the abbreviation for limited partnership ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviated form of the National Bureau of Investigation ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviation of General Motors ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviation of the International Olympic Committee ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviated term used for the National Bureau of Investigation ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviated expression for the National Bureau of Investigation ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the acronym for the rating system for air conditioner efficiency ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviation of the company name ` General Motors ' ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviation for Original Equipment Manufacturer ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviated term used for the National Bureau of Investigation ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviation of the National Bureau of Investigation ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviated form of the National Bureau of Investigation ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What 's the abbreviation for trinitrotoluene ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviated form of the National Bureau of Investigation ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviation for micro ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What 's the abbreviation for trinitrotoluene ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviated expression for the National Bureau of Investigation ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What 's the abbreviation for trinitrotoluene ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviation of the company name ` General Motors ' ?,Requests for the abbreviated form of a specific term or organization.
ABBR:abb,What is the abbreviation of General Motors ?,Requests for the abbreviated form of a specific term or organization.
